"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6198","Testcase 1","chromium","2025-11-19","passed","2025-11-19","Testcase Grouping by Hooks","grouping.spec.js","",""
"","4456","Specific Logo Screenshot","chromium","2025-11-19","passed","2025-11-19","","screenshot.spec.js","",""
"","12528","Keyboard Actions","chromium","2025-11-19","passed","2025-11-19","","keyboardaction.spec.js","",""
"","9932","Selected Date","chromium","2025-11-19","passed","2025-11-19","","datePicker.spec.js","",""
"","15124","Handle Frames/iFrames in Playwright","chromium","2025-11-19","passed","2025-11-19","","iframes.spec.js","",""
"","6551","Nested iFrames","chromium","2025-11-19","passed","2025-11-19","","nestedFrames.spec.js","",""
"","2246","get started link","chromium","2025-11-19","passed","2025-11-19","","example.spec.js","",""
"","30208","Handle Date Picker by Navigation & Selection","chromium","2025-11-19","broken","2025-11-19","","datePicker.spec.js","",""
"","7850","Download File","chromium","2025-11-19","passed","2025-11-19","","uploaddownloadfile.spec.js","",""
"","14595","Login Test Demoblaze Website","chromium","2025-11-19","passed","2025-11-19","","firsttest.spec.js","",""
"","1969","has title","chromium","2025-11-19","passed","2025-11-19","","example.spec.js","",""
"","5366","Upload Multiple Files","chromium","2025-11-19","passed","2025-11-19","","uploaddownloadfile.spec.js","",""
"","9075","Full Screenshot","chromium","2025-11-19","passed","2025-11-19","","screenshot.spec.js","",""
"","9000","Soft assertions","chromium","2025-11-19","failed","2025-11-19","","Assertions.spec.js","",""
"","5234","Testcase 2","chromium","2025-11-19","passed","2025-11-19","Testcase Grouping by Hooks","grouping.spec.js","",""
"","4348","Hard Assertions","chromium","2025-11-19","passed","2025-11-19","","Assertions.spec.js","",""
"","15185","iFrames Assignment","chromium","2025-11-19","passed","2025-11-19","","iFrameAssignment.spec.js","",""
"","4648","Screenshot","chromium","2025-11-19","passed","2025-11-19","","screenshot.spec.js","",""
"","17830","Handle Multiple Pages","chromium","2025-11-19","passed","2025-11-19","","windows.spec.js","",""
"","4759","Drag Col A to B & Verify Them","chromium","2025-11-19","passed","2025-11-19","","Draganddrop.spec.js","",""
"","8288","Print all dates from current month","chromium","2025-11-19","passed","2025-11-19","","datePicker.spec.js","",""
"","15547","Book a Free Demo","chromium","2025-11-19","passed","2025-11-19","","windows.spec.js","",""
"","10960","Mouse Double Click","chromium","2025-11-19","failed","2025-11-19","","keyboardaction.spec.js","",""
"","30197","Update My Info in OrangeHRM","chromium","2025-11-19","broken","2025-11-19","","codegen.spec.js","",""
